Topic,Titles,Question,OptionA,OptionB,OptionC,OptionD,Answer
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,What is the wastewater flow in a sewer system during the periods of dry weather with minimum infiltration called?,Wet weather flow,Dry weather flow,Wet flow,Dry flow,Wet weather flow
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,"In order to determine the section of the sewer, it is essential to know the total quantity of the sewage that would flow through the sewer.",True,False,Null,Null,True
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,The dry weather flow is also called as sanitary sewage.,True,False,Null,Null,True
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,   Which of the following factors does the dry weather does not depend on?,Rate of water supply,Population growth,Infiltration of ground water,Design of sewer system,Design of sewer system
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,Which of the following common unit is used to express the rate of water supply to a city or town?,Litres/capita/second,Litres/capita/day,Millilitres/capita/day,Millilitres/capita/hour,Litres/capita/day
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,The quantity of sanitary sewage entering the sewers would be ___________ the total quantity of water supplied.,Less than,Equal to,More than,Greater than,Less than
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,The quantity of sanitary sewage directly depends on ______,Rate of water supply,Area,Population,Precipitation,Population
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,The quantity of water supply is equal to the rate of supply multiplied by the ______,Population,Quantity of sewage,Area,Net usage,Population
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,Wet weather flow is _________ than the dry weather flow.,Lower,Higher,Equal to,Not equal to,Lower
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,Dry weather flow+ storm water=_________,Dry weather flow,Storm water,Wet weather flow,Sanitary sewage,Wet weather flow
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,"Sewage flow rates vary by source and with a time of the day, the season of the year and weather conditions.",True,False,Null,Null,True
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,A proper assessment should be made before sewers are sized or treatment plant capacities are set.,True,False,Null,Null,True
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,What is the lowest wastewater flow in hospitals?,50 gpcd,700 lpcd,900 lpcd,40 lpcd,700 lpcd
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,__________ in residential areas resemble water usage patterns in those areas.,Hydrographs,Sewage flow patterns,Dry period patterns,Daily flow,Sewage flow patterns
Waste Water Engineering,Dry Weather Flow & Variations in Rate of Sewage,A graph showing discharge versus time past a specific point in a conduit carrying flow is called?,Water flow graph,Precipitation graph,Hydrograph,Variation graph,Hydrograph
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Why is the sludge aerated?,To avoid bacterial growth,To increase bacterial growth,To maintain pH,To maintain temperature,To increase bacterial growth
Waste Water Engineering,Activated Sludge Treatment Systems – 1,________ is treated in activated sludge reactor.,Pre-treated sludge,Treated sludge,Macronutrients,Micro-organisms,Pre-treated sludge
Waste Water Engineering,Activated Sludge Treatment Systems – 1,"After the treatment, the BOD demand ______",Remains constant,Decreases,Increases,Alters,Decreases
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Which is the next reactor after activated sludge reactor in the treatment process?,Flocculation unit,Aeration unit,Clarifier,Disinfection unit,Clarifier
